codigo,titulo,autor,origen,comision,tema,iniciativa,link
001/16,POR MEDIO DE LA CUAL SE CONVOCA A UN REFERENDO CONSTITUCIONAL Y SE SOMETE A CONSIDERACIÓN DEL PUEBLO UN PROYECTO DE REFORMA CONSTITUCIONAL POR LA CUAL SE CONSAGRA LA ADOPCIÓN DE MENORES SOLO POR PAREJAS CONFORMADAS ENTRE HOMBRE Y MUJER,VIVIANE MORALES HOYOS|CARLOS ALONSO LUCIO LÓPEZ,SENADO DE LA REPUBLICA,PRIMERA,REFERENDO,POPULAR,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/1
002/16,POR EL CUAL SE MODIFICA PARCIALMETE LA LEY GENERAL DE EDUCACIÓN LEY 115 DE 1994 Y SE DICTAN OTRAS DISPOSICIONES,VIVIANE MORALES HOYOS,SENADO DE LA REPUBLICA,SEXTA,EDUCACIÓN,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/2
003/16,POR MEDIO DEL CUAL SE APOYA LA MODERNIZACIÓN DEL TRANSPORTE,ANDRES GARCIA ZUCCARDI,SENADO DE LA REPUBLICA,SEXTA,TRANSPORTE,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/3
004/16,POR LA CUAL SE ESTABLECEN MEDIDAS DE PROTECCIÓN Y USO DE LAS PLAYAS MARINAS Y TERRENOS DE BAJAMAR Y SE DICTAN OTRAS DISPOSICIONES LEY DE COSTAS,ALVARO ANTONIO ASHTON GIRALDO,SENADO DE LA REPUBLICA,SEGUNDA,ECOLOGICO,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/4
005/16,POR MEDIO DE LA CUAL SE REGLAMENTA LA SEGURIDAD SOCIAL INTEGRAL PARA LOS CONDUCTORES DE SERVICIO PÚBLICO DE TRANSPORTE AUTOMOTOR EN VEHICULOS TAXI TRANSPORTE TERRESTRE AUTOMOTOR DE CARGA Y TRANSPORTE TERRESTRE AUTOMOTOR MIXTO.,ALVARO ANTONIO ASHTON GIRALDO,SENADO DE LA REPUBLICA,SEPTIMA,TRANSPORTE,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/5
006/16,POR MEDIO DE LA CUAL SE STABLECEN CRITERIOS DE EQUIDAD DE GENEROS EN LA ADJUDICACIÓN DE LAS TIERRAS BALDIAS VIVIENDA RURAL PROYECTOS PRODUCTIVOS SE MODIFICA LA LEY 160 DE 1994 Y SE DICTAN OTRAS DISPOSICIONES.,MARITZA MARTINEZ ARISTISABAL|NORA GARCIA BURGOS|DAIRA GALVIS MENDEZ,SENADO DE LA REPUBLICA,QUINTA,VIVIENDA,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/6
007/16 acumulado 108 /16 camara,"POR MEDIO DE LA CUAL SE ESTABLECEN NORMAS SOBRE LA INFORMACIÓN NUTRICIONAL EL ETIQUETADO DE LAS BEBIDAS AZUCARADAS Y SE DICTAN OTRAS DISPOSICIONES ""LEY PARA EL CONSUMO INFORMADO DEL AZUCAR""",MARITZA MARTINEZ ARISTISABAL|NORA GARCIA BURGOS|DAIRA GALVIS MENDEZ,SENADO DE LA REPUBLICA,SEPTIMA,ALIMENTOS,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/7
008/16,POR LA CUAL SE EXPIDE EL CÓDIGO ELECTORAL Y SE DICTAN OTRAS DISPOSICIONES.,ARMANDO BENEDETTI,SENADO DE LA REPUBLICA,PRIMERA,CÓDIGO ELECTORAL,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/8
009/16,POR LA CUAL SE DICTAN NORMAS PARA SUPRIMIR Y PROHIBIR LA CONTRATACIÓN LABORAL MEDIANTE COOPERATIVAS DE TRABAJO ASOCIADO Y DEMAS FORMAS DE TERCERIZACIÓN LABORAL,ALEXANDER LOPEZ MAYA,SENADO DE LA REPUBLICA,SEPTIMA,LABORAL,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/9
010/16,POR MEDIO DEL CUAL SE INCREMENTAN LAS PENSIONES DE FORMA ANUAL EN EL MISMO PORCENTAJE EN QUE SE INCREMENTA EL SALARIO MINIMO LEGAL MENSUAL VIGENTE,ALEXANDER LOPEZ MAYA,SENADO DE LA REPUBLICA,SEPTIMA,PENSIÓN,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/10
011/16,POR MEDIO DEL CUAL SE DEROGAN LAS DISPOSICIONES QUE NO LOGRARON LOS EFECTOS PRACTICOS PARA LA GENERACIÓN DE EMPLEO LEY 789 DE 2002,ALEXANDER LOPEZ MAYA,SENADO DE LA REPUBLICA,SEPTIMA,EMPLEO,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/11
012/16,POR MEDIO DEL CUAL SE DICTAN NORMAS DE PROTECCIÓN A LA ACTIVIDAD ARTESANAL SOSTENIBLE SU PROMOCIÓN FOMENTO DESARROLLO Y LA SEGURIDAD SOCIAL INTEGRAL DEL ARTESANO Y ARTESANA PRODUCTOR EN COLOMBIA.,ALEXANDER LOPEZ MAYA,SENADO DE LA REPUBLICA,SEPTIMA,ARTESANO,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/12
013/16 acumulado 010/16,POR LA CUAL SE ESTABLECE EL REGIMEN ANUAL DE PENSIONES.,SENEN NIÑO AVENDAÑO,SENADO DE LA REPUBLICA,SEPTIMA,PENSION,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/13
014/16,POR LA CUAL SE FIJA EL MONTO DE LOS APORTES DE LA NACIÓN PARA ATENDER LA SALUD DEL MAGISTERIO COLOMBIANO.,SENEN NIÑO AVENDAÑO,SENADO DE LA REPUBLICA,SEPTIMA,SALUD,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/14
015/16,POR LA CUAL SE MODIFICA EL REGIMEN DE SEGURIDAD SOCIAL DE LOS EDUCADORES,SENEN NIÑO AVENDAÑO,SENADO DE LA REPUBLICA,SEPTIMA,EDUCACIÓN,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/15
017/16,POR LA CUAL SE MODIFICA LA AFILIACION AL FONDO NACIONAL DE PRESTACIONES SOCIALES DEL MAGISTERIO Y SE DICTAN OTRAS DISPOSICIONES,SENEN NIÑO AVENDAÑO,SENADO DE LA REPUBLICA,SEPTIMA,SUBSIDIO,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/17
018/16,POR LA CUAL SE MODIFICA LA COTIZACION EN SALUD DE LOS DOCENTES,SENEN NIÑO AVENDAÑO,SENADO DE LA REPUBLICA,SEPTIMA,SALUD,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/18
019/16,POR MEDIO DEL CUAL SE ESTABLECEN LOS CRITERIOS Y LAS CONDICIONES DE LOS CREDITOS EDUCATIVOS DEL ICETEX Y SE DICTAN OTRAS DISPOSICIONES,SENEN NIÑO AVENDAÑO,SENADO DE LA REPUBLICA,SEXTA,EDUCACIÓN,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/19
020/16,POR EL CUAL SE ESTABLECE EL PAGO DE CESANTIAS DEL FONDO NACIONAL DE PRESTACIONES SOCIALES DEL MAGISTERIO,SENEN NIÑO AVENDAÑO,SENADO DE LA REPUBLICA,SEPTIMA,SUBSIDIO,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/20
021/16,POR MEDIO DE LA CUAL SE CREA LA LEY NACIONAL DE FOMENTO A LA LECTURA Y SE DICTAN OTRAS DISPOSICIONES,ANDRES GARCIA ZUCCARDI,SENADO DE LA REPUBLICA,SEXTA,EDUCACIÓN,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/21
022/16,POR MEDIO DE LA CUAL SE INCLUYE LA ECONOMIA DEL OCEANO AZUL EN COLOMBIA,ANDRES GARCIA ZUCCARDI,SENADO DE LA REPUBLICA,TERCERA,ECONOMIA,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/22
023/16,POR MEDIO DEL CUAL SE IMPLEMENTA LOS CARROS COMIDA O FOODTRUCKS EN COLOMBIA,ANDRES GARCIA ZUCCARDI,SENADO DE LA REPUBLICA,TERCERA,ALIMENTACIÓN,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/23
016/16,POR LA CUAL SE RESTABLECE EL DERECHO A SALARIO - PENSION DE LOS EDUCADORES,SENEN NIÑO AVENDAÑO,SENADO DE LA REPUBLICA,SEPTIMA,EDUCACIÓN,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/16
024/16,POR MEDIO DE LA CUAL SE CREA LA LEY DE DISLEXIA Y DIFICULTADES DE APRENDIZAJE,ANDRES GARCIA ZUCCARDI,SENADO DE LA REPUBLICA,SEXTA,EDUCACIÓN,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/24
