senador,partido
Musa Besayle,Partido de la U
Bernardo Miguel Elías,Partido de la U
Jose David Name,Partido de la U
Roosvelt Rodríguez,Partido de la U
José Alfredo Gnecco,Partido de la U
Mauricio Lizcano,Partido de la U
Miguel Amín,Partido de la U
Eduardo Pulgar,Partido de la U
Roy Barreras,Partido de la U
Maritza Martínez,Partido de la U
Martín Emilio Morales,Partido de la U
Jimmy Chamorro,Partido de la U
Armando Benedetti,Partido de la U
Sandra Villadiego,Partido de la U
Germán Darío Hoyos,Partido de la U
Milton Rodríguez Sarmiento,Partido de la U
Andrés García Zuccardi,Partido de la U
Ángel Custodio Cabrera,Partido de la U
Manuel Enríquez Rosero,Partido de la U
Manuel Guillermo Mora,Partido de la U
Carlos Enrique Soto Jaramillo,Partido de la U
Jorge Eduardo Géchem,Partido de la U
Álvaro Uribe Vélez,Centro democratico
María del Rosario Guerra,Centro democratico
Paloma Valencia Laserna,Centro democratico
Ana Mercedes Gómez,Centro democratico
Susana Correa,Centro democratico
Alfredo Rangel,Centro democratico
Ivan Duque Márquez,Centro democratico
Fernando Araújo Rumié,Centro democratico
José Obdulio Gaviria,Centro democratico
Orlando Castañeda,Centro democratico
Daniel Cabrales,Centro democratico
Everth Bustamante,Centro democratico
Alfredo Ramos Maya,Centro democratico
Jaime Amín,Centro democratico
Ernesto Macías Tovar,Centro democratico
Thania Vega,Centro democratico
Carlos Felipe Mejía,Centro democratico
Paola Holguín,Centro democratico
Nohora Stella Tovar,Centro democratico
Honorio Henriquez Pinedo,Centro democratico
Roberto Gerlein,Partido Conservador
Efraín Cepeda,Partido Conservador
Nora García,Partido Conservador
Laureano Acuña,Partido Conservador
Yamina Pestana,Partido Conservador
Javier Mauricio Delgado,Partido Conservador
Nidia Marcela Osorio,Partido Conservador
Olga Suárez Mira,Partido Conservador
Myriam Alicia Paredes,Partido Conservador
Hernán Andrade,Partido Conservador
Eduardo Enríquez Maya,Partido Conservador
Jorge Hernando Pedraza,Partido Conservador
Juan Samy Merheg,Partido Conservador
Juan Diego Gómez,Partido Conservador
Juan Manuel Corzo,Partido Conservador
Luis Emilio Sierra,Partido Conservador
Fernando Tamayo Tamayo,Partido Conservador
Soledad Tamayo,Partido Conservador
Nadya Blel Scaff,Partido Conservador
Horacio Serpa,Partido Liberal
Andrés Cristo,Partido Liberal
Juan Manuel Galán,Partido Liberal
Arleth Casado de López,Partido Liberal
Guillermo García Realpe,Partido Liberal
Jaime Durán Barrera,Partido Liberal
Álvaro Ashton,Partido Liberal
Luis Fernando Velasco,Partido Liberal
Lidio García Turbay,Partido Liberal
Eugenio Prieto Soto,Partido Liberal
Guillermo Santos,Partido Liberal
Viviane Morales,Partido Liberal
Mario Fernández Alcocer,Partido Liberal
Rodrigo Villalba Mosquera,Partido Liberal
Edinson Delgado,Partido Liberal
Javier Tato Álvarez,Partido Liberal
Luis Fernando Duque García,Partido Liberal
Sofía Gaviria Correa,Partido Liberal
Arturo Char,Cambio radical
Carlos Fernando Galán,Cambio radical
German Varón,Cambio radical
Daira Galvis,Cambio radical
Juan Carlos Restrepo,Cambio radical
Bernabe Celis Carrillo,Cambio radical
Carlos Fernando Motoa,Cambio radical
Antonio Guerra de la Espriella,Cambio radical
Rosmery Martínez,Cambio radical
Claudia López Hernández,Partido alianza verde
Antonio Navarro Wolff,Partido alianza verde
Jorge Iván Ospina,Partido alianza verde
Jorge Eliécer Prieto,Partido alianza verde
Iván Name,Partido alianza verde
Jorge Enrique Robledo,Polo democratico
Iván Cepeda,Polo democratico
Alexander López Maya,Polo democratico
Jesús Castilla,Polo democratico
Senén Niño,Polo democratico
Mauricio Aguilar,Partido opcion ciudadana
Antonio Correa Jiménez,Partido opcion ciudadana
Julio Miguel Guerra,Partido opcion ciudadana
Doris Vega,Partido opcion ciudadana
Teresita García Romero,Partido opcion ciudadana
Gloria Stella Díaz,MIRA
Manuel Antonio Virgüez Piraquive,MIRA
Carlos Alberto Baena,MIRA
Roberto Ortiz,MIRA
Rigoberto Barón Neira,MIRA
Luis Evelis Andrade,Movimiento Alternativo Indigena Social
MARCO AVIRAMA,Alianza Social Independiente
MARÍA ÁNGELA HOLGUÍN CUÉLLAR, MINISTERIO
